*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.233912    0.0361663     0.528896    0.0372637     0.539748
          210            1   8.5712e+09     0.264452    0.0435957     0.570678    0.0442483     0.578581
          220            1  8.18776e+09      0.27141    0.0455951     0.584167    0.0464819     0.594232
          230            1  7.84104e+09     0.298974    0.0556591     0.636273    0.0577869     0.647214
          240            1  7.52624e+09     0.288629     0.051468     0.620713    0.0520355     0.630736
          250            1  7.23933e+09     0.308461    0.0608172     0.664586    0.0630679     0.677762
          260            1  6.97686e+09     0.366362    0.0774151     0.712951    0.0783588     0.721559
          270            1  6.73594e+09     0.392549    0.0914163     0.747968    0.0931558     0.757845
          280            1  6.51405e+09     0.381313    0.0858552     0.742885     0.087757     0.753134
          290            1  6.30905e+09     0.392877    0.0963263      0.76935    0.0978807     0.779652
          300            1  6.11911e+09     0.378994     0.084674      0.74557    0.0856751     0.756124
          310            1  5.94261e+09     0.462598     0.120787     0.811447     0.123151     0.819847
          320            1  5.77817e+09     0.466879     0.121929     0.814964     0.123851     0.823863
          330            1  5.62457e+09     0.488832      0.13734     0.826288     0.137811     0.832101
          340            1  5.48076e+09     0.476672     0.129517     0.832079      0.13379     0.842052
          350            1  5.34581e+09     0.362625     0.110339     0.832315     0.110446     0.821779
          360            1  5.21891e+09     0.496466     0.145991     0.855478     0.146814     0.862904
          370            1  5.09932e+09     0.479132     0.169823     0.884961      0.17131     0.892075
          380            1  4.98641e+09     0.485744     0.134151     0.842341      0.13606     0.851837
          390            1  4.87962e+09     0.483416     0.135997     0.851085     0.138298     0.860709
          400            1  4.77844e+09     0.460835     0.174623     0.896689     0.176103     0.904716
          410            1  4.68243e+09     0.405357     0.179862     0.920908     0.181535     0.914186
          420            1  4.59116e+09     0.490743     0.168643      0.89068      0.17014     0.899046
          430            1   4.5043e+09     0.692384     0.245657     0.928642     0.247308     0.933544
          440            1   4.4215e+09     0.416529     0.181345      0.92403     0.182555     0.917135
          450            1  4.34248e+09     0.432399     0.183313     0.923468     0.183609      0.91642
          460            1  4.26697e+09     0.418858     0.181984     0.926375     0.182693     0.919458
          470            1  4.19473e+09     0.780553     0.276823     0.945652     0.280507     0.950283
          480            1  4.12555e+09     0.475153     0.176845     0.910022     0.179984     0.918013
          490            1  4.05921e+09      1.08177     0.290828      0.95523       0.2927     0.952011
