*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.237697    0.0372639     0.539748    0.0372651     0.539748
          210            1   8.5712e+09     0.269934    0.0442486     0.578582    0.0442493     0.578581
          220            1  8.18776e+09     0.276009    0.0464829     0.594233    0.0464829     0.594232
          230            1  7.84104e+09     0.305949    0.0577876     0.647214    0.0577877     0.647214
          240            1  7.52624e+09     0.289776    0.0520351     0.630736    0.0520355     0.630736
          250            1  7.23933e+09     0.313977    0.0630689     0.677762    0.0630695     0.677762
          260            1  6.97686e+09     0.366701    0.0783593     0.721559    0.0783602     0.721559
          270            1  6.73594e+09     0.392547    0.0931554     0.757846    0.0931559     0.757845
          280            1  6.51405e+09     0.385511    0.0877566     0.753134    0.0877574     0.753134
          290            1  6.30905e+09     0.392877    0.0978819     0.779652    0.0978829     0.779652
          300            1  6.11911e+09     0.380634    0.0856731     0.756124    0.0856736     0.756124
          310            1  5.94261e+09      0.46973      0.12315     0.819847     0.123151     0.819847
          320            1  5.77817e+09     0.468625     0.123849     0.823863     0.123849     0.823863
          330            1  5.62457e+09     0.488831     0.137811     0.832101     0.137811     0.832101
          340            1  5.48076e+09     0.483705     0.133789     0.842052      0.13379     0.842052
          350            1  5.34581e+09     0.362625     0.110339     0.832316     0.110339     0.832315
          360            1  5.21891e+09     0.497628     0.146813     0.862904     0.146814     0.862904
          370            1  5.09932e+09     0.479132     0.171311     0.892075     0.171311     0.892075
          380            1  4.98641e+09     0.487712      0.13606     0.851836      0.13606     0.851836
          390            1  4.87962e+09     0.486263     0.138297     0.860709     0.138297     0.860709
          400            1  4.77844e+09     0.460835     0.176102     0.904716     0.176103     0.904716
          410            1  4.68243e+09     0.405358     0.179861     0.920908     0.179861     0.920908
          420            1  4.59116e+09     0.490743      0.17014     0.899046     0.170141     0.899046
          430            1   4.5043e+09     0.692811     0.247308     0.933544     0.247308     0.933544
          440            1   4.4215e+09     0.416528     0.181345      0.92403     0.181345      0.92403
          450            1  4.34248e+09       0.4324     0.183311     0.923468     0.183312     0.923468
          460            1  4.26697e+09     0.418857     0.181983     0.926375     0.181984     0.926375
          470            1  4.19473e+09     0.790196     0.280507     0.950283     0.280507     0.950283
          480            1  4.12555e+09     0.475153     0.179985     0.918013     0.179986     0.918013
          490            1  4.05921e+09      1.08177     0.290827      0.95523     0.290827      0.95523
          500            1  3.99555e+09      0.88647     0.301103     0.960247     0.301104     0.960247
          510            1   3.9344e+09     0.685584     0.248248     0.943186     0.248248     0.943186
          520            1  3.87559e+09     0.806886     0.285945     0.956716     0.285947     0.956716
          530            1  3.81901e+09      1.04223     0.312867     0.968149     0.312867     0.968149
          540            1   3.7645e+09     0.854947     0.295474     0.961308     0.295474     0.961308
          550            1  3.71197e+09     0.797985     0.286884     0.959019     0.286884     0.959019
          560            1  3.66129e+09      1.31564     0.312286     0.975931     0.312286     0.975931
          570            1  3.61237e+09     0.847656     0.296122       0.9632     0.296123       0.9632
          580            1  3.56511e+09     0.884166     0.301363     0.965626     0.301363     0.965626
          590            1  3.51942e+09      1.73339     0.276303     0.980771     0.276303     0.980771
          600            1  3.47524e+09     0.996472     0.314173     0.971268     0.314174     0.971268
          610            1  3.43247e+09      1.27152     0.316359     0.977678      0.31636     0.977678
          620            1  3.39105e+09      1.48766     0.307286     0.980886     0.307287     0.980886
          630            1  3.35091e+09      9.86974     0.541357     0.987625     0.541358     0.987625
          640            1    3.312e+09      2.24647     0.237439     0.986345      0.23744     0.986345
          650            1  3.27425e+09      2.68797     0.183924     0.987368     0.183925     0.987368
          660            1  3.23761e+09      1.30635     0.319699     0.980336       0.3197     0.980336
          670            1  3.20203e+09     0.975459      0.31695     0.974322     0.316951     0.974322
          680            1  3.16747e+09      27.7735     0.541278     0.988967     0.541279     0.988967
          690            1  3.13387e+09      1.14798     0.324206     0.979118     0.324207     0.979118
          700            1   3.1012e+09      39.0451     0.534537     0.989115     0.534537     0.989115
          800            1  2.81775e+09        26.14     0.791995     0.995735     0.791996     0.995735
          900            1  2.59443e+09      180.163     0.588578       0.9935     0.588578       0.9935
         1000            1  2.41308e+09      14.4797      1.85392     0.999475      1.85393     0.999475
         1100            1  2.26219e+09      409.681      0.68644     0.996339     0.686442     0.996339
         1200            1  2.13414e+09      34.1346      3.17097     0.999921      3.17097     0.999921
