*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
          200            1  8.99707e+09     0.237697     0.037263     0.539748    0.0373451      0.54051
          210            1   8.5712e+09     0.269933    0.0442482     0.578582    0.0443467     0.579366
          220            1  8.18776e+09      0.27601    0.0464829     0.594233    0.0465476     0.594735
          230            1  7.84104e+09      0.30595    0.0577868     0.647214    0.0579269      0.64807
          240            1  7.52624e+09     0.289776    0.0520357     0.630736    0.0520813     0.631057
          250            1  7.23933e+09     0.313978    0.0630689     0.677762    0.0631409     0.678174
          260            1  6.97686e+09     0.366699    0.0783601     0.721559    0.0785024     0.722195
          270            1  6.73594e+09     0.392546    0.0931558     0.757846    0.0935697     0.759266
          280            1  6.51405e+09     0.385512    0.0877578     0.753134     0.087861     0.753542
          290            1  6.30905e+09     0.392877    0.0978802     0.779652    0.0980123     0.780102
          300            1  6.11911e+09     0.380633    0.0856727     0.756123    0.0857204     0.756312
          310            1  5.94261e+09     0.469731      0.12315     0.819847     0.123357     0.820372
          320            1  5.77817e+09     0.468626     0.123848     0.823863     0.123982     0.824198
          330            1  5.62457e+09     0.488831     0.137811     0.832101     0.139499     0.834596
          340            1  5.48076e+09     0.483705     0.133788     0.842052     0.133894     0.842288
          350            1  5.34581e+09     0.362626     0.110338     0.832315     0.110379     0.832434
          360            1  5.21891e+09     0.497629     0.146813     0.862904     0.146916     0.863107
          370            1  5.09932e+09     0.479132      0.17131     0.892075     0.171532     0.892424
          380            1  4.98641e+09      0.48771      0.13606     0.851836     0.136515     0.852049
          390            1  4.87962e+09     0.486265     0.138299     0.860709     0.138334     0.860785
          400            1  4.77844e+09     0.460835     0.176103     0.904716     0.176205      0.90487
          410            1  4.68243e+09     0.405358      0.17986     0.920908     0.179994     0.921097
          420            1  4.59116e+09     0.490742     0.170139     0.899046     0.170192     0.899125
          430            1   4.5043e+09     0.692812     0.247309     0.933544     0.247602     0.933798
          440            1   4.4215e+09     0.416528     0.181344      0.92403     0.181406     0.924113
          450            1  4.34248e+09     0.432398     0.183312     0.923468      0.18336     0.923533
          460            1  4.26697e+09     0.418856     0.181984     0.926375     0.182024     0.926429
          470            1  4.19473e+09     0.790198     0.280506     0.950283     0.280732     0.950438
          480            1  4.12555e+09     0.475152     0.179986     0.918013      0.18001     0.918045
          490            1  4.05921e+09      1.08177     0.290828      0.95523     0.293148     0.956505
          500            1  3.99555e+09      0.88647     0.301103     0.960247     0.301294      0.96036
          510            1   3.9344e+09     0.685586     0.248249     0.943186     0.248297     0.943225
          520            1  3.87559e+09     0.806887     0.285945     0.956716     0.286033     0.956771
          530            1  3.81901e+09      1.04222     0.312868     0.968149      0.31301     0.968226
          540            1   3.7645e+09     0.854947     0.295473     0.961308     0.295548     0.961351
          550            1  3.71197e+09     0.797984     0.286885     0.959019     0.286938     0.959052
          560            1  3.66129e+09      1.31564     0.312287     0.975931     0.312397     0.975988
          570            1  3.61237e+09     0.847655     0.296122       0.9632     0.296169     0.963227
          580            1  3.56511e+09     0.884166     0.301363     0.965626     0.301408      0.96565
          590            1  3.51942e+09      1.73339     0.276304     0.980771     0.276358     0.980802
          600            1  3.47524e+09     0.996473     0.314176     0.971268     0.314216     0.971289
          610            1  3.43247e+09      1.27152     0.316359     0.977678     0.316407       0.9777
          620            1  3.39105e+09      1.48766     0.307286     0.980886     0.307331     0.980907
          630            1  3.35091e+09      9.86974     0.541358     0.987625     0.541791     0.987709
          640            1    3.312e+09      2.24647     0.237441     0.986345     0.237463     0.986359
          650            1  3.27425e+09      2.68797     0.183924     0.987368     0.183934     0.987377
          660            1  3.23761e+09      1.30636     0.319699     0.980336     0.319726     0.980348
          670            1  3.20203e+09     0.975461     0.316951     0.974322      0.31697     0.974331
          680            1  3.16747e+09      27.7735     0.541278     0.988967     0.541426     0.988993
          690            1  3.13387e+09      1.14798     0.324204     0.979118     0.324224     0.979126
          700            1   3.1012e+09      39.0451     0.534537     0.989115      0.53464     0.989133
          800            1  2.81775e+09        26.14     0.791995     0.995735     0.792166     0.995749
          900            1  2.59443e+09      180.163     0.588576       0.9935     0.588601     0.993503
         1000            1  2.41308e+09      14.4797      1.85393     0.999475       1.8542     0.999481
         1100            1  2.26219e+09      409.681     0.686441     0.996339     0.686452      0.99634
         1200            1  2.13414e+09      34.1346      3.17097     0.999921      3.17101     0.999922
         1300            1   2.0237e+09      1104.21      31.8632     0.996733      34.9827     0.996733
         1400            1  1.92717e+09      195.194      2.30112     0.999839      2.30113     0.999839
         1500            1  1.84184e+09      1259.72      1.50447     0.998612       1.5653     0.998612
         1600            1   1.7657e+09       1863.1      42.6435     0.998593      46.8213     0.998593
         1700            1  1.69722e+09      1533.16      1.15423     0.999344      1.15423     0.999344
         1800            1  1.63519e+09      3727.61      255.631     0.998634       281.11     0.998634
         1900            1  1.57867e+09      437.281      5.50329     0.999997      5.50331     0.999997
         2000            1   1.5269e+09       1318.6      2.39247     0.999916      2.39248     0.999916
         2100            1  1.47926e+09      5848.99      377.721     0.999239      415.395     0.999239
         2200            1  1.43525e+09      6097.65      308.857     0.999447      339.634     0.999447
         2300            1  1.39442e+09      1619.91        3.703     0.999984        3.703     0.999984
         2400            1  1.35643e+09      5367.56      56.9007      0.99979       62.438      0.99979
         2500            1  1.32097e+09      2546.94      3.39157      0.99998      3.39158      0.99998
         2600            1  1.28778e+09      15567.4      1651.44     0.999408      1816.48     0.999408
         2700            1  1.25662e+09       2566.1      4.90212     0.999996      4.90212     0.999996
         2800            1  1.22732e+09      4093.31      3.51905     0.999985      3.51906     0.999985
         2900            1   1.1997e+09      8517.97      35.9231     0.999929       39.305     0.999929
         3000            1   1.1736e+09      19352.4      1384.47      0.99976      1522.78      0.99976
         3100            1  1.14889e+09       9242.3      2.52334     0.999962      2.52338     0.999962
         3200            1  1.12547e+09      30348.9      2933.32     0.999706      3226.53     0.999706
         3300            1  1.10323e+09      18076.2      538.241     0.999918      591.874     0.999918
         3400            1  1.08207e+09      11196.9      3.06259     0.999981      3.06264     0.999981
         3500            1  1.06191e+09      9277.51      4.12637     0.999994      4.12638     0.999994
         3600            1  1.04268e+09      6999.63      6.54547            1      6.54554            1
         3700            1  1.02431e+09      57405.2      6128.74     0.999769      6741.48     0.999769
         3800            1  1.00674e+09        61963      6419.21     0.999794         7061     0.999794
         3900            1  9.89916e+08      9929.97      6.35941            1      6.35954            1
         4000            1   9.7379e+08      13726.9        4.947     0.999998      4.94714     0.999998
